County,State,CKD_number,POP_total,Hypertension,Obesity,Heart_disease,Diabetes,Smoking,Food_Env_Index,Excessive_drinking,Unemployed,Median_household_income,POP_65,POP_Black,POP_White
WALWORTH,South Dakota,62,4263,38.24,31.1,8.8,11.5,19.4,7.7,22,5.5,53162,25.3,0.4,77.7
YANKTON,South Dakota,29,18009,30.21,33.6,7.7,10.4,18,8.1,22,2.7,65826,20.1,2,87
ZIEBACH,South Dakota,386,1968,33.33,45.8,10.6,18.3,31.5,4.1,18,4.5,37066,10.6,0.5,23.1
ANDERSON,Tennessee,187,60404,29.92,34.7,9.2,13.7,22.4,7.5,17,3.8,58633,20.3,3.8,88.7
BEDFORD,Tennessee,36,36583,35.8,37.3,8.6,13.6,23.4,7.3,15,4.1,55420,15.1,7.6,75.2
BENTON,Tennessee,105,12942,21.9,37.1,12.1,17,26.5,6.7,16,4.8,45165,24,2.5,91.9
BLEDSOE,Tennessee,55,12504,27.03,39.8,10.3,15,27.4,6.9,17,5.2,44867,19,7.6,86.9
BLOUNT,Tennessee,24,104790,31.75,37.2,8.6,12.5,22,7.7,16,3.4,62724,21.1,2.9,90.2
BRADLEY,Tennessee,123,83485,32.01,35.4,8.6,13.2,21.9,6.7,16,4.1,56273,17.5,4.9,84.5
CAMPBELL,Tennessee,325,31434,26.72,38.2,11.1,15.8,28.2,6.4,16,4.8,44325,20.6,0.5,95.8
CANNON,Tennessee,627,11364,42.86,36.8,9.6,13.9,24.9,7.9,17,3.4,53093,18.2,1.9,93
CARROLL,Tennessee,939,22034,23.72,35.6,10,14.8,24,7.4,15,4.6,45997,20.3,9.6,84.1
CARTER,Tennessee,101,46006,23.73,36.8,11.1,15.8,25.2,5.1,16,4.2,45293,22.8,1.7,94.1
CHEATHAM,Tennessee,124,31481,39.33,33.3,7.8,11.9,22.1,8.4,17,3.1,75162,15.9,2.6,90.7
CHESTER,Tennessee,73,13462,21.54,38.5,8.5,12.8,24.7,8.1,17,3.3,51615,17.5,9.3,84.5
CLAIBORNE,Tennessee,120,25696,38.04,36.5,10.2,15,26.5,6.7,16,4.1,43331,20.5,1.2,94.6
CLAY,Tennessee,567,6160,34.48,38.1,13.1,18.1,29.1,7,15,5.3,39770,25.2,1.5,94.1
COCKE,Tennessee,73,28499,42.19,39.5,11.6,17,27.9,5.9,16,5.5,40572,21.9,2,92.5
COFFEE,Tennessee,57,42354,30.28,34.3,8.9,13.3,23.8,7.3,17,4.1,55070,17.3,3.9,86.9
CROCKETT,Tennessee,3587,10953,28.72,41.6,10.1,16.1,24.6,7.5,15,3.6,50792,18.6,13.9,72
CUMBERLAND,Tennessee,163,49228,25.06,36.1,11.9,15.9,23.2,6.9,16,4.8,52000,32.1,0.7,93.7
DAVIDSON,Tennessee,434,548560,31.62,31.5,6.1,10.6,18.5,7.5,18,4.2,65463,13.1,26.6,56.4
DE KALB,Tennessee,2586,9243,37.29,36,11.4,16.2,26.5,7.4,16,5.7,48292,23.4,2.8,91.2
DECATUR,Tennessee,83,15787,22.41,35.8,9.6,14.2,25.2,6.6,16,4.5,45612,18.9,1.6,87
DICKSON,Tennessee,61,41105,30.97,35.4,8.6,12.9,23,8,16,3.4,61219,16.8,3.9,88.9
DYER,Tennessee,298,28393,25.93,35.6,9.5,14.7,24,6.1,16,4.6,51499,17.8,14.7,78.5
FAYETTE,Tennessee,57,32812,22.97,40.4,9.3,15.7,21.6,8.1,16,4.1,70943,22.7,27.1,67.3
FENTRESS,Tennessee,157,14389,24.32,38.4,11.9,16.5,27.3,7.5,16,4,41469,22.6,0.5,95.6
FRANKLIN,Tennessee,64,33483,29.67,31.7,9.2,13.2,23.4,7.1,16,3.8,57723,20.6,4.9,87.9
GIBSON,Tennessee,36,37118,30.35,39.7,9.5,15.1,24.9,6.9,15,4.3,51280,18,17.7,76.5
GILES,Tennessee,296,23260,21.38,35.2,9.6,14.5,23.9,7.6,16,4.3,55468,20.5,9.8,83.5
GRAINGER,Tennessee,159,18441,28.57,37.4,10.6,15.2,26.3,,16,4.2,46983,21.5,0.9,93.7
GREENE,Tennessee,202,55729,37.09,36.2,10.5,15.4,26.2,6.4,16,4.4,54166,22.3,2.1,92.4
GRUNDY,Tennessee,328,10469,26.92,38.6,11.5,16.3,27.1,6.8,16,5.4,41266,20.6,0.8,94.9
HAMBLEN,Tennessee,145,49668,30.93,36.5,9.8,14.5,24.8,6.4,15,4,48483,18.4,3.8,80.4
HAMILTON,Tennessee,559,288641,28.88,36.3,7.8,12.9,19,7,17,4,65689,18.1,18.6,70.6
HANCOCK,Tennessee,89,5187,33.33,38,11.8,16.5,30.1,6.4,15,4.8,34055,22.3,0.5,96.6
HARDEMAN,Tennessee,2078,20281,22.76,43,10.2,18,27.5,7.2,14,6,44314,18.6,41.6,53.7
HARDIN,Tennessee,1213,20477,22.73,38.5,11.1,15.9,25.6,7.1,17,4.5,50309,23.4,3.2,91.5
HAWKINS,Tennessee,551,45290,40.97,33.8,10.4,14.9,24.7,6.9,16,4.4,49873,21.7,1.5,94.6
HAYWOOD,Tennessee,454,13480,31.51,42.2,10,19,26.4,6.7,13,5.9,42634,20.1,50.2,43.5
HENDERSON,Tennessee,3383,21503,24.11,40.2,9.9,15.1,26.1,7.5,15,4.4,53282,18.7,7.7,86.4
HENRY,Tennessee,2704,25720,22.96,36.4,11,16,25.7,6.5,16,4,45980,23.6,7.3,86.9
HICKMAN,Tennessee,1230,19859,23.94,40.8,9.5,14,25.5,7.9,17,3.5,50345,17.8,5,89.3
HOUSTON,Tennessee,392,6461,19.61,34.9,10.4,14.9,25.5,7.8,16,4.8,48788,20.7,3.2,90.7
HUMPHREYS,Tennessee,818,14507,33.7,35.1,10,14.3,26,7.1,17,3.9,55298,20.4,2.4,91.8
JACKSON,Tennessee,1820,9643,30.43,37.5,11.5,16,27.1,7.6,16,4.3,43611,22.9,0.9,94.4
JEFFERSON,Tennessee,929,43394,39.59,39.3,9.5,14.1,23.5,7.5,16,4.1,50969,20.4,1.9,91.6
JOHNSON,Tennessee,435,14802,20,38.2,11.4,15.8,28.4,7.1,16,3.5,42230,23.8,2.5,93.5
KNOX,Tennessee,950,367698,27.29,30.1,7.2,11.5,19,7.3,16,3.3,64817,16.3,8.6,81.5
LAKE,Tennessee,280,6361,38.71,41.1,9.6,15.5,30.4,6.5,15,6,29281,16.2,28,66.3
LAUDERDALE,Tennessee,1178,19998,23.53,43.8,9.8,17,28.6,6.9,14,6,42280,16.3,34.9,59.4
LAWRENCE,Tennessee,1392,32802,33.59,39,10.2,14.5,25.9,7.6,16,4.3,49794,17.7,1.8,92.9
LEWIS,Tennessee,427,9484,42.5,38.6,10.7,15.5,27,5.8,16,4.7,50422,21,2.1,92.3
LINCOLN,Tennessee,2028,26577,22.3,35.3,9.8,14.4,22.8,7.7,17,4.1,52018,20,6.9,86.1
LOUDON,Tennessee,15193,42759,28.22,31,10,14.5,20.4,8,16,3.4,72378,27.4,1.3,86.5
MACON,Tennessee,375,41979,51.65,35.2,10,15.1,24.7,7.2,16,4.5,50480,20.1,3.7,88.4
MADISON,Tennessee,550,20196,27.9,39.4,11.2,16.1,27.8,6.4,16,5.3,45083,20.8,6.1,88.9
MARION,Tennessee,1316,18278,33.7,36.8,9.6,14.1,26.6,7.1,16,3.7,49357,16.1,1.1,90.8
MARSHALL,Tennessee,1009,75733,36.36,39.1,8.7,15,21.8,6.6,15,4.5,53954,17.9,37.5,55.1
MAURY,Tennessee,1188,22562,37.22,38.2,10,14.6,26.4,7.1,16,4.3,51898,21,3.9,91.1
MC MINN,Tennessee,601,25784,35.98,39.9,8.5,13.5,24,6.9,16,4.5,64710,16.4,6.1,84.7
MC NAIRY,Tennessee,1123,72246,26.88,33.9,7.7,12.8,20.5,7.8,17,4.7,68425,16.8,11.4,78.4
MEIGS,Tennessee,1356,9794,23.91,36.9,10.3,15,25.9,7.8,18,4.9,51337,21.1,2,92.9
MONROE,Tennessee,835,36589,29.38,39,10.9,15.6,25.8,7,17,3.8,50364,21.9,1.9,90.7
MONTGOMERY,Tennessee,696,150965,28.66,36.6,5.6,10.8,20,6.7,15,4.5,63593,9.8,21,60.8
MOORE,Tennessee,2084,5197,43.75,35.4,9.7,13.9,22.9,8.7,17,2.6,62609,22.1,2.4,91.9
MORGAN,Tennessee,428,17438,23.81,37.6,10.5,15.2,28.4,6.7,16,4.3,48122,18.6,3.8,92.2
OBION,Tennessee,1806,23707,25.61,37.2,10.5,16,25.8,7.2,15,4.7,50021,21.1,10.6,81.6
OVERTON,Tennessee,9103,17405,27.52,36.7,10.7,14.9,27.7,7.7,16,3.6,45793,20.4,0.8,95.4
PERRY,Tennessee,214,6280,21.62,38.8,12.1,17,28.6,5.6,16,7.2,43998,21.4,2.9,90.8
PICKETT,Tennessee,825,4181,18.52,35.6,12.6,16.8,26.8,7.6,16,3.8,44566,28.4,0.3,95.7
POLK,Tennessee,810,13592,30.49,38.5,10.7,15.1,25.1,7.9,17,4.1,50863,21.2,0.8,94.7
PUTNAM,Tennessee,1688,62388,28.8,30.9,8.3,12,22.4,6.5,16,3.7,52138,16.8,2.2,87.4
RHEA,Tennessee,569,25547,29.29,38.7,10.3,15,25.4,6.3,16,4.8,50479,19.2,2,89.6
ROANE,Tennessee,796,43159,32.1,34.7,10,14.2,22,7.5,17,4,56355,23.5,2.8,92.1
ROBERTSON,Tennessee,1022,54065,33.53,37.2,7.8,12.4,21.6,8.5,17,3.3,67539,15.4,7.7,81.7
RUTHERFORD,Tennessee,673,244790,32.05,34.4,5.8,10.3,17.8,8.1,16,3.4,77942,11.1,16.6,67.2
SCOTT,Tennessee,241,16682,38,36.9,10.1,14.9,29.6,6.1,15,5.1,40788,17.7,0.3,96.8
SEQUATCHIE,Tennessee,518,11775,33.8,33.1,9.9,14.2,26,5.1,16,4.4,55099,21.4,0.8,92.7
SEVIER,Tennessee,385,77719,33.53,36.8,9.5,14.2,23.3,7,16,3.9,51771,20.5,1.3,88.5
SHELBY,Tennessee,1500,703043,24.94,33.9,7.2,14.6,18.6,6.9,14,6.8,54931,14.5,54.1,34.5
SMITH,Tennessee,598,15419,29.73,37.6,9.2,13.6,24.6,8,17,3.3,56567,16.9,2.5,91.7
STEWART,Tennessee,10606,10725,27.14,34.8,9.7,14.1,23.3,7.4,17,4.1,56764,20.7,1.9,90.6
SULLIVAN,Tennessee,232,127306,31.85,34.4,9.7,13.9,23.2,6.7,16,4.2,49489,22.2,2.3,92.7
SUMNER,Tennessee,779,143227,38.48,31.2,7.5,11.5,20.5,7.9,17,3.3,71268,16.4,8.4,81.8
TIPTON,Tennessee,1179,46419,30.17,36.1,7.9,12.9,22.9,8.3,16,4.3,62814,15.5,18.2,75.4
TROUSDALE,Tennessee,364,9073,33.33,36.2,7.3,11.8,23.3,,17,3.7,49014,13,11.5,82.7
UNICOI,Tennessee,965,14451,27.54,35.1,11.2,15.6,25.2,7.4,16,4.9,44971,23.9,0.4,91.5
UNION,Tennessee,1541,15415,34.21,38,10.7,15.5,27.7,7.6,17,4,51102,18.9,0.5,95.5
VAN BUREN,Tennessee,1536,4655,50,39.2,12.1,17.1,28.4,7.3,16,5,45565,24,0.8,94.9
WARREN,Tennessee,803,31296,46.2,35.3,10.3,15.3,26.2,6.9,16,4.7,48444,17.9,3.3,84.1
WASHINGTON,Tennessee,630,104120,31.35,31.3,8.2,12.2,21.8,7.1,16,3.6,56071,19.3,4.2,87.8
WAYNE,Tennessee,2672,13747,25.97,37.7,10,14.4,27.2,7,17,4.1,47563,19.6,7,88.8
WEAKLEY,Tennessee,814,26973,30.82,37.8,9.1,13.3,25,7,16,3.8,44799,18.8,7.8,86.1
WHITE,Tennessee,836,21176,41.61,39.4,10.6,15,26.4,6.4,16,3.9,45239,20.5,1.9,92.6
WILLIAMSON,Tennessee,2208,168641,23.21,26.8,5.6,9,12.8,9.1,19,2.5,123474,14.1,4.2,83.3
WILSON,Tennessee,356,107293,29.46,30.6,6.9,11,18.2,8.2,17,3.2,82489,16,7.6,82.9
ANDERSON,Texas,1429,46952,27.27,42.1,8.4,13.8,22.2,6.4,20,4.8,54515,14.9,21.3,57.1
ANDREWS,Texas,3714,12559,17.07,36.1,6.4,11.9,18,7.5,20,5.9,70005,9.9,1.4,38
ANGELINA,Texas,183,64812,42.41,38.1,9.1,14.5,22,6.3,18,6.5,50620,16.9,14.9,59.2
ARANSAS,Texas,644,19620,28.7,36.1,12,17.2,20.7,5.4,22,7.3,55435,27.4,1.4,65.1
ARCHER,Texas,919,6899,19.35,34.4,8.5,12.3,19.2,7.5,22,4.2,69286,20.5,1,87.2
ARMSTRONG,Texas,655,1455,33.33,32.5,8.7,12.4,17,6.5,23,3.6,64401,22.8,1,84.6
ATASCOSA,Texas,269,36585,31,38.8,7.7,14.5,17.1,7.9,20,6.2,57905,14.8,0.9,31.2
AUSTIN,Texas,180,22860,18.66,35.6,8.3,13.2,17.9,7.8,20,5.5,68150,20.8,8.6,60.3
BAILEY,Texas,511,4821,33.33,37.3,8.4,14.7,16.8,8.5,20,4.9,47375,15.4,1,32.1
BANDERA,Texas,1953,19012,26.55,34.4,10,15,18.4,6.8,22,4.7,69051,28.8,1.2,74.7
BASTROP,Texas,940,64859,21.78,40.4,7.9,13.4,18.4,7.8,21,4.5,72809,15.6,6.3,48.6
BAYLOR,Texas,1556,2758,42.86,34.4,9.6,13.5,19.6,7.5,22,3.4,45408,24.1,2.6,79.8
BEE,Texas,1612,25724,21.88,39.8,7.6,14.3,19.6,6.3,20,8.7,45431,12.9,8.5,29.9
BELL,Texas,6007,257125,32.21,34.1,6,11.1,17.8,6.7,20,5.7,58878,11.4,22.3,43.5
BEXAR,Texas,605,1478380,34.67,37.7,6.6,13.4,14.6,6.9,19,5.4,63014,12.5,7.5,26.1
BLANCO,Texas,419,9567,30.65,33.9,9.2,14,16.8,8.1,22,3.3,69247,25.9,1.2,75.6
BORDEN,Texas,2713,517,,32.1,8.3,11.8,13.2,6.9,23,2.4,69744,23.7,0.8,78.1
BOSQUE,Texas,23966,14658,17.24,34.8,10.3,14.7,19.6,6.7,21,4.6,56041,25.1,1.9,75.7
BOWIE,Texas,514,71932,26.67,39.5,8.3,13.7,20.5,6.6,20,5.8,52934,17.1,25.4,61.9
BRAZORIA,Texas,374,272255,27.87,35.7,6,11.5,15.6,7.8,21,6.9,82165,12.4,15.4,43.2
BRAZOS,Texas,4554,180073,28.85,30.6,5.1,8.9,17,6.5,18,4.1,50494,10.1,10.8,54.4
BREWSTER,Texas,4124,7523,27.59,35.7,8.8,14.3,15.1,6,20,4.5,51197,24.6,1.6,49.2
BRISCOE,Texas,1453,1232,33.33,37.5,11,15.9,21.3,2.8,19,4.7,49905,23.9,3.8,65.4
BROOKS,Texas,259,5101,34.48,43.2,10.6,21.2,19.8,5,16,9.2,33460,18.3,0.6,6.8
BROWN,Texas,569,29524,20.93,36.2,8.9,13.5,19.3,6.4,21,5.2,48803,20.7,3.6,69.9
BURLESON,Texas,584,14310,20.83,38.4,9.2,14.4,18.9,7.5,21,5,57469,21.3,11.4,64.1
BURNET,Texas,195,37371,28.73,34.1,8.9,13.1,18.3,7.7,22,3.7,72510,23,1.8,72.6
CALDWELL,Texas,1181,32944,20.45,37.8,7.8,14.6,19.2,7.3,19,4.9,60063,15,5.5,36.8
CALHOUN,Texas,3218,16344,25,36.4,8.7,14.8,17.1,5.5,20,4.9,70662,19,2.4,40.7
CALLAHAN,Texas,491,10845,26.09,37.1,9.4,13.6,19.5,7.1,22,4.6,56708,21.2,1.6,84
CAMERON,Texas,917,295355,37.37,39.1,8.7,18,17.1,5.4,18,8.2,46436,14,0.5,8.5
CAMP,Texas,807,9570,21.31,38.9,9.4,15.5,19.8,6.9,19,5.9,51024,19.1,14.8,54.4
CARSON,Texas,3951,4557,19.05,33,7.8,11.3,17.2,8,23,3.9,66548,21.2,1.4,83.9
CASS,Texas,2969,23317,21.26,38.3,10.3,15.6,22.7,6.5,20,6.7,42896,22.4,16.4,75
CASTRO,Texas,1584,5476,14.81,38.1,8.7,15.2,17.5,8.1,19,3.5,62236,17.1,1.9,30
CHAMBERS,Texas,356,30571,26.92,37.2,6.7,11.3,17.3,7.5,21,8.3,89767,11.7,7.8,63
CHEROKEE,Texas,2328,39222,18.64,38.2,9.4,14.9,21.7,6.6,19,6.4,48664,17.8,13.5,59.4
CHILDRESS,Texas,880,5848,5.56,37.1,7.7,12.2,21,6.1,20,3.6,42758,15.1,11.2,53.6
CLAY,Texas,225,8357,23.68,34.6,9.5,13.5,18.7,5.7,22,4.9,60973,23.8,1.1,87.8
COCHRAN,Texas,48,2050,22.22,42.3,10.4,17.9,22.9,6,18,6.3,42274,16.4,4,33.5
COKE,Texas,1249,2661,30,34.8,10.8,15.2,19.4,4,21,4.8,46767,25.2,0.8,73.7
COLEMAN,Texas,771,6633,21.05,37.2,11.2,16,20.2,6.4,21,6,42253,26,3.1,74.9
COLLIN,Texas,172,744670,28.44,26.7,5,9.2,11.9,8.3,19,4.3,102119,11.4,11.1,52.8
COLLINGSWORTH,Texas,720,2183,17.65,37,9.5,14.7,21.3,7.4,19,4.3,45734,19.6,5.4,55.9
COLORADO,Texas,2104,16377,26.13,35.9,9.5,15.1,19.2,7.8,20,4.8,62004,22.4,11.1,54.2
COMAL,Texas,102,114699,30.24,31.4,7.2,11.4,14,7.9,22,4.5,93487,18.3,2.7,64.8
COMANCHE,Texas,864,10532,23.38,35.5,10.3,15,18.6,7.1,21,4.6,49076,23.3,0.7,67.6
CONCHO,Texas,7075,3767,30,38.8,8.9,15,21.1,6.8,20,4.2,48563,26.8,1.2,61.3
COOKE,Texas,45733,30888,25.79,35.6,8.5,12.8,19.1,7.5,21,5,58060,19.2,3.3,73.7
CORYELL,Texas,338,57755,30.07,33.3,5.8,10.3,19.6,5.2,21,5.7,59718,10.8,16.8,56.1
COTTLE,Texas,17,1068,27.27,40.5,12.6,19.2,22.5,1.1,19,4.6,44590,25.6,10.6,61.9
CRANE,Texas,566,3385,50,36,6.7,12.7,16.1,8.3,20,9.6,63555,12.2,2.8,27.9
CROCKETT,Texas,2465,2642,33.33,38.3,8.3,15.6,18.1,7.6,19,6.7,53159,19,0.9,29.2
CROSBY,Texas,7276,4243,26.67,39.9,10.3,17.4,19.8,7.4,18,5.6,42728,18.8,3.2,37.6
CULBERSON,Texas,4282,1704,15.38,44.8,12,22,21.5,6.4,17,4.8,48217,20.8,1.5,21.7
DALLAM,Texas,274,4927,23.53,36.8,7.3,12.7,22.7,6.6,19,2.6,70895,11.8,1.9,47.7
DALLAS,Texas,52,1948080,30.53,35.7,6.3,11.6,16.4,7.2,19,5.6,63549,11.5,22.8,27.2
DAWSON,Texas,254,9389,23.81,41.2,9.2,16.2,22.1,5.3,18,7,43627,14.2,5.8,32.6
DE WITT,Texas,1028,12936,21.05,39,7.6,14.5,18.6,7.9,18,3.7,50967,13.1,1.1,21.3
DEAF SMITH,Texas,515,4109,33.33,37.1,10.1,14.8,20.7,7.3,21,4.9,50329,21.7,6.5,77.7
DELTA,Texas,1286,647068,20.83,34.7,5.1,9,13,8.1,22,4.4,98027,11.1,11.3,55.6
DENTON,Texas,1123,15659,29.75,38,9.5,15.5,21,7.4,20,4.8,54279,19.8,8,53.5
DICKENS,Texas,576,1825,8.33,37.5,10.2,15.3,20.7,6.9,20,5.1,42690,24.7,5.1,59.7
DIMMIT,Texas,383,7312,26.47,42.4,10.2,20.2,21.9,3.5,16,5.7,41838,17.1,1.4,9.3
DONLEY,Texas,12401,2665,28,34.9,9.6,13.6,19.3,7.7,21,4.1,44353,24.9,5.4,78.2
DUVAL,Texas,366,8425,35.48,41.6,9.8,19.6,17.1,5.8,18,8.3,37921,17.5,1.2,8.7
EASTLAND,Texas,138,14380,21.84,36.2,10.4,14.9,21.7,6.1,20,5.8,47526,21.9,2,77.2
ECTOR,Texas,929,113268,22.8,41.1,6,11.6,17.3,7.2,20,8.3,58389,9.7,4.4,28.2
EDWARDS,Texas,201,1492,30,37.9,11.7,18.7,20.6,7.2,18,4.3,47573,28.9,0.9,41.3
EL PASO,Texas,864,131486,34.44,36.4,6.4,11.8,16.9,7.8,21,4.5,87698,13,13.7,55.4
ELLIS,Texas,1477,612758,29.6,37.8,6.6,15,14.8,6.8,17,6.2,50983,12.8,3.2,11.4
ERATH,Texas,184,33739,19.4,34.7,6.9,10.5,18.1,6.2,21,4.5,51964,14.7,1.9,72.9
FALLS,Texas,294,13722,20.51,39.9,9.6,16.1,23.3,6.6,18,5.3,46173,18.6,22.3,49.6
FANNIN,Texas,89,27707,20.45,36.5,8.8,13,21.2,6.7,21,4,56794,18.1,6.4,76.9
FAYETTE,Texas,107,20238,22.52,35.4,10.2,15,18.1,7.7,22,4.3,64711,26.6,5.7,70
FISHER,Texas,275,3027,7.14,36.3,9.9,15,17.8,7.7,21,4.2,51362,24.3,3.6,63.5
FLOYD,Texas,17085,4265,25.81,39.5,9.8,16.5,18.6,7.7,19,5.8,43855,19.6,3.3,34.9
FOARD,Texas,82,953,50,34.8,10.9,15.8,22,4.1,20,3.4,42616,27.5,5.1,73.5
FORT BEND,Texas,621,571354,24.19,28.7,5.2,11.2,12.7,8.1,17,5.9,98070,12.1,20.9,30.2
FRANKLIN,Texas,3431,8240,34.04,33.5,8.8,12.8,16.2,6.3,23,4.4,51885,21.9,4.5,76.3
FREESTONE,Texas,410,15285,28.05,38.8,9.8,15.6,21.9,6.5,20,7.2,48397,20.2,14.8,65.5
FRIO,Texas,132,15242,30.61,40.1,7.2,14.5,18.8,6.7,18,4.8,47833,12.2,3.3,13.2
GAINES,Texas,1017,13399,21.05,38.6,7.2,12.7,21.9,7.9,20,4.6,58712,8.7,1.6,53
GALVESTON,Texas,1508,255997,26.56,34.8,6.7,12.7,16.4,7.1,20,6.7,77627,15.2,12.5,55.6
GARZA,Texas,53,5463,33.33,37.3,7.2,12.5,20.7,6.9,20,5,43890,11.8,6.8,38.2
GILLESPIE,Texas,102,21455,30.46,33.9,10.1,14,15.7,7.9,22,3.3,71594,29.3,0.4,72.9
GLASSCOCK,Texas,96,1025,0,36.9,8.2,13,20.1,4.4,20,2.9,116958,13.7,2.5,57.4
GOLIAD,Texas,181,5963,25,37.2,9.5,15.4,19.1,7,21,6.6,58937,23.5,4.1,57.3
GONZALES,Texas,88,15205,25,39,9.1,15.6,19.7,6.4,19,4.3,48164,17.5,5.7,39.8
GRAY,Texas,152,16265,25.33,38.5,9.1,14.4,21.2,6.8,20,6.7,45530,16.5,5.2,60.6
GRAYSON,Texas,59528,102149,24.19,36.5,8.3,12.7,18.9,7.3,21,4.6,62678,18.1,5.8,73.8
GREGG,Texas,369,91756,23.49,39.1,8.2,13.7,20.5,6.4,19,6.5,57608,15.8,20.3,56
GRIMES,Texas,442,21989,24.79,39.8,9.6,15.5,21.7,6.5,20,6.7,52540,18.5,14.2,58.8
GUADALUPE,Texas,158,122676,30.34,36.2,6.5,11.9,15.9,7.3,20,4.4,80145,14.5,7.9,48.1
HALE,Texas,15030,24670,19.81,38.9,7.8,14.2,18.8,7.1,19,6.1,47373,13.7,5,31.4
HALL,Texas,601,2334,20.83,41.5,13.2,19.9,21.6,6.1,19,5.4,34766,24.4,8.7,54.1
HAMILTON,Texas,72,6611,11.43,36.5,10.9,15,21.3,6.1,21,4.1,53759,24.8,0.9,82.3
HANSFORD,Texas,346,3869,13.64,39.2,9.1,14.8,19.8,8.2,19,3,57692,15.6,0.7,47.7
HARDEMAN,Texas,97,3085,25,37.6,10.3,15.4,20.6,6.9,20,4.3,45677,22.4,5.8,65.1
HARDIN,Texas,383,43152,41.32,35.5,8.1,11.9,20.5,6.6,22,8,67183,17.3,5.5,84.9
HARRIS,Texas,564,3446935,29.34,36.3,6.2,13.4,15.8,7.2,19,6.5,63539,11.4,19.1,27.7
HARRISON,Texas,3165,49861,26.11,35.9,8.6,14.2,20.8,7.1,20,6.6,56645,18,20.1,62.8
HARTLEY,Texas,69,4435,0,34.9,7,11.1,17.3,7.4,23,2.1,71332,15.4,7,62.2
HASKELL,Texas,3783,4730,14.29,38.2,10.5,15.6,22.6,6.6,20,3.9,43546,22.5,4.3,63.2
HAYS,Texas,21277,171450,23.23,32.5,5.5,9.4,15,8.1,20,4.1,79336,11.7,4,51.5
HEMPHILL,Texas,959,2649,10,36.3,8.2,12.9,17.4,7.9,21,4.3,65387,16.4,0.5,61.4
HENDERSON,Texas,547,64575,26.17,38,10.2,15.1,21.8,6.6,20,5.1,50348,22.3,6.1,76.5
HIDALGO,Texas,932,583974,38.18,44.2,7.9,17.2,16.8,4.9,18,9.3,44260,11.3,0.5,5.7
HILL,Texas,784,27859,23.7,39.9,9.6,14.5,19.9,7.6,20,5,52495,20.4,5.9,68.8
HOCKLEY,Texas,117,17065,30.16,36.6,7.9,13.5,19.2,6.3,19,6,51078,15.1,3.6,44.3
HOOD,Texas,174,47632,22.22,34.5,9.1,13.1,17.2,7.6,23,5.2,68911,25.3,1.3,82.4
HOPKINS,Texas,39,27742,21.05,38.3,9,13.9,20.4,7,21,4.3,56680,18.5,6.8,71.9
HOUSTON,Texas,14334,18569,27.27,39.2,11.4,18,23.7,6,19,4.8,45603,22.5,24.2,60.5
HOWARD,Texas,278,28642,18.92,39.5,7.7,13.5,20.2,6.3,20,6.5,55842,13,6,45.9
HUDSPETH,Texas,596,3779,14.29,44,9.1,17.3,22,1.3,17,5.8,38904,14.6,3.4,15.1
HUNT,Texas,510,73310,28,37,8.3,12.9,20.1,6.9,20,5.1,58326,16,7.8,68.6
HUTCHINSON,Texas,412,15755,24.36,37.5,8.5,13.1,19.4,6.9,21,6,56646,17.8,2.4,68.9
IRION,Texas,7860,1187,66.67,35.1,8.7,13.7,17.1,5.5,22,4.9,69966,20.4,1.4,68.9
JACK,Texas,165,6919,13.79,35.6,8.8,13,22.8,6,21,5.5,51846,16.8,4.2,75.5
JACKSON,Texas,817,11090,31.15,36.3,8.4,13.6,19.3,7.2,20,5,60666,19.2,5.9,57.3
JASPER,Texas,34,27261,40.44,41.5,9.8,15.2,24.7,6.3,20,9.7,50038,20.5,15.7,74.2
JEFF DAVIS,Texas,228,2078,28.57,35.4,10.7,16.4,19.2,6.8,19,4.3,56149,39,0.8,63.2
JEFFERSON,Texas,577,193820,30.67,43.2,7.8,14.3,20.2,6.4,19,10,55575,15,33.3,38
JIM HOGG,Texas,577,3635,11.11,42.1,9.6,19.9,18.6,4.9,17,8.8,37454,16.6,0.7,5.1
JIM WELLS,Texas,3351,29474,23.47,40,8.4,16.9,17.2,6.2,18,10.2,43852,15.8,0.7,17.5
JOHNSON,Texas,3179,126820,32.37,37.2,7.3,12,19.4,7.6,20,4.9,76226,14.2,4.5,67.6
JONES,Texas,833,16405,29.31,39,8.3,13.3,21.7,6.8,22,6.2,52288,15.9,11.8,57.5
KARNES,Texas,3503,12303,23.53,38.4,7.6,13.6,19.3,7.6,19,5.2,48470,14.2,8,33.4
KAUFMAN,Texas,838,92966,26.54,38,6.7,11.8,18,7.9,20,4.9,73660,11.1,16.5,53.7
KENDALL,Texas,120,35137,24.07,34.1,7.1,11.2,13.4,8.6,22,3.8,102832,19,1.3,69.7
KENEDY,Texas,266,322,0,40.8,10.7,19.8,,4.8,,6,42379,20.9,2.6,21.8
KENT,Texas,143,573,0,33.5,9.8,14.1,15.3,4.9,23,2.9,54154,24.3,0.7,75.7
KERR,Texas,122,42343,25.21,34.1,10.2,14.6,17.3,7.3,21,4.5,60834,27.8,1.5,66.9
KIMBLE,Texas,1349,3596,17.14,37.3,11.6,16.6,20.5,6.6,20,4.1,48671,30.2,1,72.1
KING,Texas,102160,207,100,33,8.3,12,27.4,3.9,19,0.9,74890,17.4,2.3,76.4
